source_x,source_y,reference_x,reference_y,confidence,inlier
491.02972,1284.162,935.2618,1215.0104,1.0,1
498.31406,1340.1768,970.3248,1255.5795,1.0,1
445.3051,2146.762,1015.43726,1964.4775,1.0,1
542.8881,2299.733,1284.714,1953.0721,1.0,1
370.41574,2670.6848,946.2744,2433.0952,1.0,1
370.41574,2670.6848,952.6527,2434.5022,1.0,1
